,323_CT,381_CT,398_CT,382_CT,397_CT,485_CT,486_CT,487_CT,488_CT,489_CT,490_CT,491_CT,492_CT,494_CT,496_CT,497_CT,498_CT,499_CT,500_CT,501_CT,472_CT,459_CT,323_LT,381_LT,398_LT,382_LT,397_LT,489_LT,496_LT,472_LT,459_LT
A0A023I7J4,0.197117091,-1.094055654,-0.410660381,-1.345544473,-0.549466804,-0.904924006,0.87928753,0.142015787,0.274647506,0.501919899,-0.851866397,-0.650470368,0.580725879,-0.647435801,1.550036977,0.592254566,-1.159340563,-0.375096106,-0.908895251,0.119435241,-0.052468531,-0.316195457,0.667223416,0.387029787,1.604243115,-0.331712119,0.165970378,-0.493374102,1.637551338,-0.02432351,-1.572345633
A0A023I7N5,-0.242096906,-0.121678607,-0.071328413,-0.842083698,0.26005467,-3.080508673,-1.749249201,1.313079864,0.747924101,0.797349302,-0.083801355,-0.729087165,-0.242628422,1.706435447,0.556569102,-0.636141604,-0.91967908,-0.968191827,-0.420399596,-0.681278135,1.109095738,1.087276925,0.403840844,1.357036212,-0.072354171,-1.4347055,0.419982632,-0.461029475,0.659054197,1.329351778,-0.280189396
A0A023I7N8,0.446454734,0.404350895,-0.888690867,-1.270184286,0.558065789,0.280550257,-0.767004653,0.106157512,-0.809334226,-0.617974129,-0.105427466,1.748761493,-0.422463867,0.242059349,-1.811604561,0.052610006,-0.933587544,-0.506590473,0.436341142,-0.78920595,2.888389782,1.564597537,0.107645487,-2.074542362,0.888190148,0.57423691,1.004059964,-1.011828902,-0.819683593,0.150180698,0.533992423
A0A023I7W4,1.266234661,0.737999251,-0.146064363,1.387804237,-1.024918075,0.424792541,0.600016245,-0.741434398,-0.143599775,-0.606822251,-1.80913501,-0.961511364,0.170624725,-0.281141313,1.729125716,0.597391782,0.318639212,0.717476555,-0.376639375,0.778318122,0.058899994,0.465683839,-1.142269097,-1.118290188,-0.402616955,-1.872848167,-2.81265626,0.075177727,0.044088094,-0.232684764,-0.000703784
A0A023I905,0.870645383,-1.993525107,-0.469294167,1.89933972,-0.059297767,-0.76108979,-0.010315014,-0.868697138,0.490094359,1.036000243,0.49771219,1.679083309,1.230031126,-1.950650036,0.604968743,0.49424349,-0.811998025,0.586781648,-0.956073836,-0.673358367,1.413489542,0.832829626,0.36628779,-1.370121783,-0.404773234,0.109298157,0.312066249,-0.381955108,-0.951900068,-2.063621395,0.06931961
A0A023Q4K2,0.773424392,1.800908998,-1.31897173,-0.16970114,1.990620011,-0.785178114,0.71450278,0.111128049,-0.141803511,1.132700686,-0.213829898,-0.342344769,0.363623442,-1.616423152,-0.203880025,0.7049267,-0.692985616,-0.55432053,0.782779706,-1.242746865,-0.955177513,2.070284428,0.530559333,-0.379508205,-0.544870551,1.015327322,0.471221617,-1.180552244,-1.051464595,-0.546354275,0.166476465
A0A023QSC6,-0.401524368,-0.179023778,2.145457643,0.200512284,1.755979731,-1.079467775,-0.298163343,0.114991352,-0.405296336,0.551458876,-1.033314718,-0.490869308,0.014084667,0.853289034,-0.779836063,0.017043025,-0.419589898,0.047965824,0.410764875,-0.094948335,-2.0680848,-0.863086103,-0.384259902,-1.070136978,2.409645868,0.908572168,1.350041253,0.024001288,-1.454490137,-0.494737401,-0.222359112
A0A023QZ89,1.246934529,-0.577387148,-0.343625861,0.663164959,0.130784654,-1.862134036,0.257567844,0.648644651,0.009105452,0.50931872,-0.31735839,0.075821068,0.407658154,-0.496060733,0.459590644,0.891917573,-1.149342188,0.029362415,-0.572035637,0.745915246,0.70944507,3.119373808,0.713731373,-0.425795943,-1.501933813,-1.784198053,-1.111783723,0.106990675,-0.973202141,0.189001293,1.683649331
A0A023T6R1,0.933519269,-0.371964273,0.639997603,0.46452301,-1.883566244,0.729850326,0.452550929,0.772565597,1.769063955,-0.25504025,0.440158977,-0.979494741,2.6503128,-1.177922128,0.513298781,-0.694274141,0.159477242,0.717692314,-0.050888995,0.0457599,-0.323060826,0.113282762,-1.005489026,-1.279282209,0.385761118,-0.61474018,-2.208445748,0.027762787,-0.09184939,-0.482129643,1.342579172
A0A023T787,0.978338269,-1.53350333,0.496293829,0.858612366,-1.790492606,0.987897488,1.086658734,0.39965065,0.90970927,0.375697445,0.529330172,-1.405727189,1.418854989,-1.517041579,0.892535791,-0.090973094,0.421068271,0.649648062,0.161683712,-2.940551703,-0.312582775,0.619149223,0.243761461,2.139188057,0.7200897,-0.616872445,-0.676068547,-0.529120211,-0.365538991,-1.012995586,0.558927242
A0A023UN48,-0.707106781,-1.418073882,1.536642171,0.229179592,0.598843387,-0.694884436,2.683214351,-1.883135716,-0.234338888,-0.184822159,1.861953918,1.730440235,1.943549726,-0.664253722,1.713464922,-0.075164525,0.866333253,0.31375479,0.143667131,1.791733127,-1.095781094,-0.666466104,0.707106781,-0.831483947,-0.948447808,-0.849949294,-0.409560615,0.474818398,1.516656187,0.463776523,-0.238458752
A0A024F8Q5,0.160878227,0.952501263,-1.348475719,-0.250593887,-0.04491192,0.649839831,0.635737024,0.736147614,0.355379295,-0.028682117,0.68648249,1.571850301,-2.249871874,-0.18524608,-0.571234031,1.006973691,0.998364404,0.621326356,1.249213119,-1.203070194,-0.826666323,1.232841365,-0.13069072,0.404460213,-1.278993264,0.463807191,0.774330046,-0.929690603,-0.807970153,0.021534679,-1.231894139
A0A024QYR8,0.621933705,-1.009783148,0.343023,1.196514169,0.604801294,-1.721432502,0.300429562,-0.552052566,0.139038217,1.288839602,-0.49827104,-0.396570868,0.494699697,-2.490580217,-0.066913568,-0.018222742,0.619489936,0.132478727,0.016761604,-0.853840188,1.616994968,2.889068327,-0.603178254,2.015990944,-1.082917317,-0.253180785,0.301658533,-0.189794508,-1.342088235,0.722339701,-0.190891096
A0A024QYT6,1.249879627,0.370648825,0.12696731,2.268636945,0.552713728,0.729369821,0.319740413,0.079821456,0.792637472,0.504806136,0.238429433,-1.337806989,0.634190369,-2.601668246,0.473097396,-0.164981605,0.417018976,0.338561909,-0.265480555,0.812668505,-2.072323487,-1.417327629,-0.581969024,-0.558179663,-0.769922271,-0.635377634,-1.429519104,0.445634891,0.49808512,0.684113021,-1.533317203
A0A024QYU9,1.038960278,-0.752534661,0.192482014,0.479197921,-0.586628238,-0.730399675,0.489552939,1.008375202,1.068859234,-0.18541277,0.664431769,-0.582480994,0.53655799,-1.093984107,0.620227398,-0.117004952,0.717993269,0.512101271,0.262544078,-0.628337114,0.30680514,1.721674275,-0.030439516,-3.760391511,-1.140896677,-1.003994863,-1.12359886,0.368985788,0.104475666,0.086518382,1.304325979
A0A024QYV7,0.545585262,0.111294748,0.19638246,0.711085939,-0.65222399,0.307613336,-1.127110668,-1.31852649,-0.254443554,-1.027902851,-0.810369055,-0.463705197,-0.714810398,-0.658398759,0.153227792,-0.107771304,-0.926922852,-0.023894316,-0.038240398,0.569146419,1.153450066,2.892194773,0.103300293,-1.026875637,1.974290196,-0.581951126,0.599317118,0.05984814,-0.040073054,0.041590556,2.228886126
A0A024QYW3,-0.351551572,2.282089224,-0.793384745,2.019944131,-0.079351745,0.411943129,0.338447308,0.385524476,-0.335643945,-0.276390263,0.259974738,-0.711908831,-0.209864486,0.837717633,0.358813942,-0.014491529,0.920955515,0.856250126,0.250529886,0.229645723,-1.713219324,-0.435452651,0.6211054,1.162314797,0.32548156,1.825174764,-0.797428645,-1.400042153,-0.893645229,-1.338325563,-0.69526859
A0A024QYX0,1.094836805,-0.504372244,-0.147551131,1.751212143,-0.520672554,0.533801689,0.115065418,-0.454648008,-0.086066828,-0.63879934,0.044991898,-0.361399848,-0.843571578,-3.355962344,-0.255387138,-0.910570208,-0.387413914,-0.024921756,0.230904052,0.19694448,1.065247644,-0.226974439,0.826748212,0.672184764,-0.64316415,2.684285878,0.153436888,0.572251382,0.622362535,-0.664899755,-0.250728735
A0A024QYX3,-0.147219296,-0.375234961,0.523925706,-0.385114646,0.051772038,0.448636316,-1.123508543,0.497579518,0.807084952,-4.034150358,0.779580236,1.517327852,0.204055349,1.105886744,0.342935928,-0.129949784,0.41182389,0.096288866,-0.443375416,0.401379513,1.551101069,0.552049464,-0.794313145,-0.280387099,0.021657527,-0.69262183,-0.842163317,0.999629201,0.269077392,-0.029488631,1.452633819
A0A024QYX8,-0.151513475,1.14282501,2.498474136,-0.88271371,2.076281748,-0.192440204,-0.750031861,-0.416790318,-1.045776406,-0.133994455,-0.544370649,0.282278092,-0.454321626,-0.643131631,-0.718945072,-0.240225887,-0.218488987,-0.451268604,0.462565535,0.603928745,-0.963845313,-0.147343568,1.448824207,1.210732084,-0.647295092,-1.091564626,2.286220615,-0.842399673,-0.841682974,-0.175544148,-0.881665888
A0A024QYY0,-0.84177232,-0.193271156,-1.103831129,-1.789656271,-0.89685808,-0.057047033,-1.922303261,0.92146547,1.532090244,0.142838756,-0.02022236,0.220346181,-0.016115812,-0.990740037,0.492287257,0.071495252,1.700610124,-0.083997907,-0.023636871,0.765095391,-0.800102563,0.148911014,-0.501932093,0.922644362,0.13034585,-1.596545246,-0.349595922,1.914307404,0.44107094,-1.019532622,-1.895638441
A0A024QYY1,-0.946067952,-0.623018418,-1.214380193,0.485648896,-2.97637248,0.845006381,0.294814082,2.025846743,0.523995528,0.121023274,1.349505876,-0.498336427,-0.713476914,-1.467620173,0.896434383,0.781265146,-0.741779291,-1.010348285,0.126554544,-0.732893904,1.034555142,-1.931037921,-0.787224818,-2.376990329,0.917822112,1.722348382,-0.230654095,0.909265986,-1.403021365,0.161987286,-1.168655062
A0A024QYY3,0.895534178,0.465963744,-1.091744494,0.763280427,-0.782217771,-0.092598288,1.873212587,0.751053003,0.906904369,0.248830188,-1.690947638,-1.163140653,1.007768078,-1.435460774,-0.739216145,1.118512614,1.160189867,0.640993141,1.836209196,-0.468554881,-1.816567853,0.769328289,-0.388943655,0.223055691,0.227568652,-0.602062162,-0.316736297,0.578878598,-0.302153559,-1.949335284,-0.775181433
